id,ideology,region,ethnic,gender
1048,5,4,4,1
1052,1,1,5,2
1054,3,1,5,2
1058,3,4,5,1
1060,3,3,1,1
1061,9,3,1,2
1066,6,4,5,1
1069,5,2,1,1
1071,5,2,5,1
1072,4,2,5,2
1073,6,2,2,1
1075,5,2,5,1
1077,2,2,5,2
1079,6,2,5,2
1081,7,2,6,1
1085,4,2,5,1
1086,7,2,5,1
1088,5,2,5,1
1089,8,2,5,2
1090,5,2,5,2
1092,3,4,.,1
1093,3,4,6,2
1094,3,4,5,2
1098,2,2,5,1
1099,4,2,5,2
1100,3,2,5,1
1101,5,2,5,1
1103,4,2,5,2
1104,5,2,5,2
1106,7,4,5,2
1107,2,1,5,2
1109,4,1,5,2
1111,5,2,5,2
1112,6,2,5,1
1113,2,4,5,1
1122,5,3,1,1
1123,5,4,5,2
1125,5,4,5,1
1132,4,3,1,1
1139,5,4,6,2
1141,5,3,5,2
1142,2,3,5,2
1143,9,3,3,1
1144,3,3,5,2
1149,5,4,5,1
1152,6,2,5,2
1153,2,2,5,1
1154,5,4,5,1
1155,3,1,3,2
1158,0,1,5,2
1160,9,1,5,2
1161,5,2,5,1
1162,6,1,5,1
1163,3,1,5,2
1167,1,3,5,1
1168,7,3,5,2
1171,6,2,5,1
1178,5,3,5,1
1179,5,4,5,1
1182,2,3,5,2
1184,2,4,5,2
1185,6,3,5,1
1186,6,1,5,1
1188,6,4,5,2
1189,5,1,4,1
1192,6,3,5,2
1196,5,2,5,1
1199,1,3,5,2
1202,9,3,1,1
1203,5,2,5,1
1205,7,4,5,1
1207,5,1,5,1
1209,6,3,5,1
1210,5,3,5,1
1215,3,4,5,1
1217,3,3,1,2
1218,4,2,5,2
1219,5,3,1,2
1220,3,2,5,2
1222,4,2,5,2
1225,7,3,5,2
1227,5,3,5,1
1230,6,2,6,2
1234,6,4,5,1
1235,6,1,5,1
1237,3,1,4,2
1238,2,1,5,2
1244,5,1,5,2
1245,5,2,5,2
1247,4,4,5,1
1248,7,3,5,2
1250,1,1,1,2
1251,3,2,5,2
1252,3,2,5,2
1255,7,2,5,1
1259,7,3,5,2
1260,3,3,5,2
1262,6,4,5,1
1265,3,2,5,1
1268,9,3,1,2
1272,5,3,5,2
1276,6,4,4,2
1277,7,4,5,2
1282,1,2,1,1
1289,5,2,5,1
1293,6,1,5,1
1294,5,1,5,2
1296,3,1,5,2
1298,6,3,5,2
1299,4,3,5,1
1302,2,3,5,1
1304,5,3,5,1
1308,3,3,5,2
1310,3,2,5,1
1311,9,2,4,1
1312,3,2,5,1
1314,5,3,5,2
1315,7,3,5,1
1317,5,1,5,2
1319,1,2,5,1
1320,5,2,5,1
1321,6,2,5,1
1326,3,4,5,2
1327,5,4,2,1
1330,5,4,5,2
1335,5,2,5,2
1338,2,3,5,2
1341,7,4,5,1
1342,2,3,5,1
1345,5,2,5,1
1346,6,3,5,2
1347,9,3,5,2
1348,9,3,5,1
1352,5,3,5,1
1353,6,4,4,2
1356,5,2,5,2
1357,6,4,5,1
1359,3,1,5,2
1360,2,1,5,1
1366,5,2,4,1
1369,3,2,1,2
1370,7,3,5,1
1372,4,3,5,2
1374,3,2,1,1
1375,2,3,5,2
1377,2,1,5,2
1381,1,3,5,2
1382,7,3,5,1
1383,5,3,5,1
1385,4,3,5,1
1386,7,3,5,1
1389,4,3,5,2
1396,2,1,5,1
1399,8,2,5,1
1400,7,2,5,2
1402,5,4,5,2
1404,2,4,5,2
1408,6,3,5,1
1411,7,3,5,2
1416,9,3,5,2
1418,5,2,5,1
1425,4,3,1,1
1437,4,1,5,1
1438,6,2,5,1
1439,7,4,5,1
1441,6,3,6,2
1443,9,3,1,1
1449,3,4,5,2
1454,5,3,5,1
1455,2,4,5,2
1457,4,4,5,1
1458,6,4,5,1
1469,2,1,5,1
1470,6,2,5,2
1476,6,4,4,1
1479,6,4,4,1
1480,6,4,5,1
1487,9,1,4,2
1490,5,4,5,2
1491,9,4,2,2
1492,5,4,5,2
1493,3,4,5,2
1494,1,4,5,1
1495,5,4,5,1
1497,5,4,5,1
1500,4,4,5,2
1501,7,3,4,1
1502,5,3,5,1
1503,3,3,4,2
1504,5,3,5,2
1505,5,3,5,2
1510,6,1,5,1
1511,5,1,5,2
1512,3,1,5,2
1515,2,1,5,2
1516,6,1,5,2
1518,5,1,5,2
1520,3,1,4,1
1521,7,4,5,1
1522,1,4,4,1
1524,5,1,5,2
1525,5,1,5,2
1527,6,3,5,1
1528,9,1,5,1
1530,5,3,5,1
1531,5,3,5,1
1532,5,3,5,1
1536,9,3,5,1
1540,5,1,5,1
1541,6,1,5,2
1544,6,3,5,1
1545,5,3,4,2
1546,5,3,5,1
1547,7,3,5,1
1553,2,1,1,2
1555,3,1,5,2
1556,3,1,4,2
1557,6,1,5,1
1559,9,4,5,2
1560,7,3,5,1
1561,3,1,5,1
1562,6,3,5,2
1563,3,3,1,2
1565,2,4,4,1
1567,3,3,5,2
1570,5,1,5,1
1571,4,1,5,1
1573,6,1,5,2
1574,2,1,5,2
1575,3,1,5,2
1579,9,4,1,1
1580,6,2,5,2
1586,1,2,5,1
1588,5,4,5,1
1592,5,2,5,2
1596,5,4,5,2
1604,3,4,5,1
1605,7,2,5,2
1607,9,1,5,2
1608,5,3,5,1
1609,5,1,1,1
1611,5,2,5,1
1613,3,1,1,2
1614,5,2,5,2
1616,3,1,5,1
1619,4,3,5,2
1620,3,3,5,1
1621,3,3,5,2
1622,5,3,5,2
1623,1,3,5,1
1625,2,2,5,2
1630,9,3,5,2
1632,2,3,5,2
1639,5,1,4,1
1640,5,4,1,1
1642,5,4,5,1
1645,6,2,5,1
1646,5,2,5,2
1647,7,2,5,1
1650,5,4,5,2
1655,2,3,2,2
1660,2,3,5,1
1664,6,3,5,2
1666,3,4,5,1
1676,9,2,5,1
1677,3,3,1,2
1678,5,3,4,2
1682,6,3,5,2
1684,3,3,5,2
1685,9,3,1,2
1686,1,3,5,1
1688,3,2,5,2
1693,5,3,5,1
1694,3,4,5,2
1698,5,4,5,1
1700,2,2,5,2
1701,5,2,5,2
1703,6,1,5,1
1704,5,3,5,2
1706,9,4,2,2
1708,3,3,5,2
1710,9,4,5,1
1713,3,4,5,1
1717,3,4,.,2
1719,9,4,4,2
1720,6,4,.,2
1723,5,1,5,1
1725,3,1,1,2
1730,5,1,5,1
1733,6,1,5,1
1734,7,3,5,1
1736,9,4,5,2
1741,6,3,5,1
1743,7,3,5,2
1745,7,2,5,2
1746,5,3,5,2
1748,5,4,5,1
1749,3,2,5,1
1750,7,2,5,2
1751,3,2,5,2
1753,6,2,5,1
1756,6,1,6,2
1763,5,3,5,2
1764,5,3,5,2
1766,5,3,5,1
1767,7,3,5,1
1769,6,3,5,1
1770,5,3,5,1
1772,3,2,5,1
1773,5,1,5,2
1774,2,4,5,1
1777,5,3,5,2
1779,5,2,5,2
1781,9,2,5,2
1793,2,1,5,2
1794,6,1,5,2
1795,3,1,5,1
1798,3,3,5,2
1800,3,3,5,2
1803,6,2,5,1
1804,5,2,5,2
1807,5,3,1,2
1809,3,2,5,2
